Difficulty,Questions,Options,Correct answer
1,How would you classify the given number 1?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Perfect square
2,How would you classify the given number 5?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Prime number
3,How would you classify the given number 25?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Perfect square
4,How would you classify the given number 44?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
5,How would you classify the given number 107?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Prime number
6,How would you classify the given number 139?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Prime number
7,How would you classify the given number 204?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
8,How would you classify the given number 178?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Product of two distinct prime numbers
9,How would you classify the given number 535?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Product of two distinct prime numbers
10,How would you classify the given number 348?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
11,How would you classify the given number 251?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Prime number
12,How would you classify the given number 884?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
13,How would you classify the given number 758?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Product of two distinct prime numbers
14,How would you classify the given number 1051?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Prime number
15,How would you classify the given number 2028?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
16,How would you classify the given number 3570?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
17,How would you classify the given number 1632?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
18,How would you classify the given number 4846?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Product of two distinct prime numbers
19,How would you classify the given number 802?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Product of two distinct prime numbers
20,How would you classify the given number 5850?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
21,How would you classify the given number 3892?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
22,How would you classify the given number 2310?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
23,How would you classify the given number 5173?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Product of two distinct prime numbers
24,How would you classify the given number 3722?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Product of two distinct prime numbers
25,How would you classify the given number 4076?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
26,How would you classify the given number 10353?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
27,How would you classify the given number 11197?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Prime number
28,How would you classify the given number 2185?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
29,How would you classify the given number 13055?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
30,How would you classify the given number 11943?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
31,How would you classify the given number 1193?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",Prime number
32,How would you classify the given number 19076?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
33,How would you classify the given number 30225?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
34,How would you classify the given number 2236?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
35,How would you classify the given number 7624?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
36,How would you classify the given number 27284?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
37,How would you classify the given number 8036?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
38,How would you classify the given number 49154?,"['Prime number', 'Perfect square', 'Product of two distinct prime numbers', 'None of the above']",None of the above
